;APP_Libelle_etablissement;SIRET;Adresse_2_UA;Code_postal;Libelle_commune;geores;Agrement
93;LE PLESSIS GOURMAND (SARL LEGER);3,97654E+13;12 AV DU GENERAL DE GAULLE;94420;LE PLESSIS TREVISE;48.809557,2.574708;
94;LEADER PRICE EXPLOITATION;4,19695E+13;102 RUE DE BICETRE;94240;L' HAY LES ROSES;48.77616,2.353736;
95;SUPER U (S A A D);3,94961E+13;2 ALL DE LA PILOINAIS;35250;SAINT AUBIN D AUBIGNE;48.261267,-1.619207;
96;PRIGENT;4,00649E+13;5 PL A DE GUEBRIANT;29250;SAINT POL DE LEON;48.684384,-3.986165;
97;LE CANARD D'OR EXPRESS (EUROPASIE);4,20975E+13;9 R DE LA POURVOIERIE;78000;VERSAILLES;48.807273,2.13194;
98;STEPHANE TRAON (SARL BIANNIC);3,95068E+13;24 PL CORNIC;29600;MORLAIX;48.580051,-3.830518;
99;MC DONALD'S (L I L Y);4,08089E+13;73 R DE PARIS;94220;CHARENTON LE PONT;48.821109,2.414259;
100;EARL DE LA FERME DES COLLINES;4,21641E+13;GRANDE RUE;80160;PLACHY BUYON;49.818999,2.231936;
101;SOCIÉTÉ ANTIBOISE DE CHARCUTERIE TESTA (SOCIÉTÉ ANTIBOISE DE CHARCUTERIE TESTA);3,9769E+13;ZI DES 3 MOULINS;6600;ANTIBES;43.603198,7.075574;
102;SARL BERNARD TREBOUX;4,08617E+13;3 T AV DE THUYSET;74200;THONON LES BAINS;46.381024,6.496108;
103;JPM;4,21702E+13;66 RUE JEAN MOULIN;69300;CALUIRE ET CUIRE;45.799227,4.846868;
104;S.N.C. RESTO MONTLHERY - LEON DE BRUXELLES;4,00433E+13;113 ROUTE DE MONTLHERY;91310;MONTLHERY;48.634962,2.287348;
105;BOULANGERIE PATISSERIE BRUNAT  MULTI-SERVICES (PROXI) (BRUNAT CYRILLE);4,0941E+13;40 PL JEAN VINAY;38470;L' ALBENC;45.223439,5.439256;
106;Camping du Lac d'Aydat (SARL LE CHADELAS);4,22359E+13;FORET DU LOT;63970;AYDAT;45.666311,2.991843;
107;La Halte des Bauges (MONSIEUR PATRICK MARTINEAU);4,01386E+13;LIEU DIT CHEF LIEU;73340;BELLECOMBE EN BAUGES;45.739023,6.159294;
108;ATAC (SAAS AUCHAN SUPERMARCHE);4,10409E+13;50 AV JEAN JAURES;78350;JOUY EN JOSAS;48.765241,2.162222;
109;LES FLEURS;4,22619E+13;7 PL DE LA REPUBLIQUE;65400;ARGELES GAZOST;43.005118,-0.100349;
110;BOSH BOUCHERIE OUBERRANE SALAH HASSANE;4,23263E+13;68 R JEAN JAURES;92800;PUTEAUX;48.883733,2.24398;
111;SARL JESSY - Nicolsen Chavenay;4,01533E+13;3 RUE DE GALLY;78450;CHAVENAY;48.85436,1.980662;
112;SARL SILA;4,23733E+13;99 AV EDOUARD VAILLANT;92100;BOULOGNE BILLANCOURT;48.833818,2.244705;
113;REMI PIZZA (SARL REMI PIZZA);4,13123E+13;CHEZ LE PRETRE;63480;SAINT PIERRE LA BOURLHONNE;45.686058,3.750707;
114;PETIT CASINO (DISTRIBUTION CASINO FRANCE);4,28268E+13;14 PL CARNOT;69400;VILLEFRANCHE SUR SAONE;45.98563,4.717885;
115;AU PUR SANG (2ORE CENE MARIE BEATRICE);4,03734E+13;2 AV DE LA PELOUSE;78600;MAISONS LAFFITTE;48.958189,2.170404;
116;AU PAIN DES DIEUX;4,14569E+13;1183 RTE NATIONALE 7;6270;VILLENEUVE LOUBET;43.638787,7.13372;
117;ALDI MARCHE DAMMARTIN;4,14599E+13;55 BD DE LA REPUBLIQUE;92210;SAINT CLOUD;48.844979,2.21249;
118;LE VERGER DU BAC;4,29047E+13;30 RUE DU BAC;94480;ABLON SUR SEINE;48.723641,2.418631;
119;LECLERC (AUBINS SAINT PRIX);4,18171E+13;41 AV DU GENERAL LECLERC;95390;SAINT PRIX;49.003487,2.261395;
120;ALOTTO;4,32524E+13;41 AV PAUL DOUMER;69630;CHAPONOST;45.712227,4.745515;
121;BOUDABBOUS KAMEL;4,11261E+13;128B R JEAN JAURES;94700;MAISONS ALFORT;;
122;LECLERC (CO-VA-DIS (LECLERC QUATRE CHEMINS));4,18704E+13;130, BOULEVARD CHARLES DE GAULLE;92700;COLOMBES;48.914146,2.229727;
123;PIZZA PRESTO (GAYA);4,33017E+13;9 BD ABEL CORNATON;91290;ARPAJON;48.587253,2.247824;
124;L'ALMODOVAR (BEIRAMAR);4,11463E+13;1 RUE DU PROGRES;78230;LE PECQ;48.898468,2.110229;
125;RESTAURANT DU COMMERCE;4,22491E+13;1 R DE PARIS;29410;SAINT THEGONNEC LOC EGUINER;48.521204,-3.945784;
126;BOULANGERIE DU PARC (BOUJDI BRAHIM);4,39504E+13;5B PL REPUBLIQUE F MITTERRAND;92110;CLICHY;;
127;BOUCHERIE DU CENTRE;4,13874E+13;117 R JEAN JAURES;92800;PUTEAUX;48.881053,2.238199;
128;AUX DELICES DE SHANGHAI;4,24004E+13;5 AVENUE LONGUEIL;78600;MAISONS LAFFITTE;48.947437,2.147749;
129;LAUBLET*LAURENT/;4,39707E+13;17 AV MARCEL PERRIN;95540;MERY SUR OISE;49.063591,2.186417;
130;MONSIEUR DENIS ROCHARD;4,14046E+13;PLACE DU MARCHE;69690;BESSENAY;45.776133,4.553626;
131;MONSIEUR FABRICE MOULIN;4,24294E+13;1 AV DU GAL LECLERC;14500;VIRE NORMANDIE;48.838806,-0.88974;
132;L'AUBERGE DE LA POSTE (LA PENICHE);4,39857E+13;142 RTE NATIONALE 10;78310;COIGNIERES;48.74733,1.922167;
133;MONSIEUR DAVID ALIX;4,4273E+13;31 RTE NATIONALE;80480;DURY;49.844449,2.269557;
134;L'ESCALE (MADAME NATHALIE DORBES);4,15386E+13;RTE D'ARREAU;65250;LA BARTHE DE NESTE;43.081542,0.389;
135;ASSA;4,42775E+13;2 GALERIE DES ETOILES;92360;MEUDON;48.786567,2.230615;
136;ALAIN GIE;4,29072E+13;19 RUE BANES;92190;MEUDON;48.808145,2.24094;
137;VILLEDIEU MARC;4,43363E+13;87 CRS DU DOCTEUR LONG;69003;LYON 3E ARRONDISSEMENT;45.750444,4.887088;
138;LE GRENIER CLICHOIS (SARL L'EPI D'OR);4,19305E+13;22 RUE VILLENEUVE;92110;CLICHY;48.90402,2.307125;
139;FRANPRIX (AMJ);4,32018E+13;6 PL LOUIS ARAGON;95480;PIERRELAYE;49.022764,2.153428;
140;PETIET STEPHANE;4,43847E+13;22 LOTISSEMENT LE PLAN;38540;SAINT JUST CHALEYSSIN;45.584063,5.006575;
141;EL MAARY OMAR;4,19382E+13;90 BD DE L HOPITAL;3200;VICHY;46.12612,3.433135;
142;BOUCHERIE DES PIERRES DOREES;4,32856E+13;PL DE LA LIBERATION;69620;VAL D OINGT;45.921384,4.585164;
143;AUREMA DISTRIBUTION;4,47486E+13;7 RUE DE LA STATION;94170;LE PERREUX SUR MARNE;48.843128,2.504216;
144;SUPER-U (DU NOIREAU);4,21533E+13;RUE SAINT JACQUES - RD 562;14110;CONDE EN NORMANDIE;48.854238,-0.543969;
145;LA CIBOULETTE (SARL GEORGES PACCARD);4,33988E+13;10 RUE VAUGELAS;74000;ANNECY;45.90159,6.125965;
146;COOP-SAVEURS - Boucherie Aurélien;4,48758E+13;109 RUE HENRY CHERON;14100;LISIEUX;49.144716,0.222934;
147;LA CIVETTE DU PARC (MONSIEUR LEON KHERSIS);4,23428E+13;17 RUE DES RESERVOIRS;78000;VERSAILLES;48.808337,2.124568;
148;ADBH;4,34894E+13;32 AV CARNOT;94190;VILLENEUVE SAINT GEORGES;48.732953,2.449939;
149;BOULANGERIE GRANGE;4,49531E+13;16  GRANDE RUE;65240;ARREAU;42.904562,0.35942;
150;INTERMARCHE (BRUANGE);4,24025E+13;RUE DU VIEUX CHATEAU;62220;CARVIN;50.484384,2.96092;
151;MONSIEUR DANY VAN BOUCHAUTE;4,34998E+13;25 RUE SAINT PIERRE;80700;ROYE;49.698696,2.790937;
152;CARREFOUR (CARREFOUR HYPERMARCHES);4,51321E+13;QUARTIER DU VAL;14200;HEROUVILLE SAINT CLAIR;49.206336,-0.332037;
153;PIZZA DES LYS (PIZZA DELICE);4,24173E+13;2B SQ DES ARTISTES;95520;OSNY;49.061711,2.065777;
154;BARAMAD;4,37809E+13;6 RUE DE LA DEESSE BRIGITTE;29150;DINEAULT;48.22024,-4.167087;
155;au pain d'autrefois (MONSIEUR PATRICK MATIGNON);4,24245E+13;126 RUE DU CHATEAU;92100;BOULOGNE BILLANCOURT;48.842346,2.240367;
156;MARCHE 3000;4,40169E+13;11B AV LOUIS PASTEUR;92220;BAGNEUX;48.799666,2.317967;
157;LA BELINOISE;4,24754E+13;RTE DE SOST;65370;MAULEON BAROUSSE;42.930017,0.557889;
158;CARREFOUR MARKET (CSF);4,40284E+13;91 RUE BOUCICAUT;92260;FONTENAY AUX ROSES;48.792032,2.285665;
159;MANDRES SERVICES BANGAIZ (MONSIEUR NAJET BENGAIZ);4,51722E+13;13 RUE DU GENERAL LECLERC;94520;MANDRES LES ROSES;48.701932,2.543593;
160;AU PAIN RETROUVE (MONSIEUR DOMINIQUE CHAILLET);4,25068E+13;118 RUE PAUL VAILLANT COUTURIER;92240;MALAKOFF;48.816628,2.292567;
161;LA CHOPE D'OR;4,41683E+13;184 RUE GARIBALDI;69003;LYON 3E ARRONDISSEMENT;45.760842,4.851615;
162;DOUCEURS ET PLAISIRS DE VINCENNES;4,52233E+13;83 R DE FONTENAY;94300;VINCENNES;48.848225,2.437003;
163;FRANCE RAMA DISTRIBUTION;4,43789E+13;33 RUE GAY LUSSAC;95500;GONESSE;48.981106,2.458033;
164;SOCIETE NOUVELLE CHEZ PAUL;4,52505E+13;11 RUE MAJOR MARTIN;69001;LYON;45.766668,4.832676;
165;FRANPRIX (ASNIERESDIS);4,44409E+13;10 PL DES VICTOIRES;92600;ASNIERES SUR SEINE;48.909911,2.291428;
166;BOULANGERIE SAINT MARTIN (MONSIEUR CHRISTOPHE PETIT);4,53736E+13;2 RUE DU LIEUTENANT BAUDE;95270;SAINT MARTIN DU TERTRE;49.108521,2.347799;
167;O'TACOS  (TAO LSO);4,44935E+13;AV FRANCOIS MITTERRAND;85340;LES SABLES D OLONNE;46.519564,-1.775756;
168;SCEA FRANCOIS;4,53994E+13;4 RUE RAOUL BRIQUET;62980;VERMELLES;50.489071,2.743788;
169;VAZEILLE SARL;4,31454E+13;PL DU HUIT MAI;63540;ROMAGNAT;45.73119,3.099331;
