;APP_Libelle_etablissement;SIRET;Adresse_2_UA;Code_postal;Libelle_commune;geores;Agrement
10172;RONSARD BRESSE;5,03674E+13;En Rayer;1560;Saint-Jean-sur-Reyssouze;46.397445,5.063319;1364001
10173;LE PARIS;3,78921E+13;24 BD RICHARD LENOIR;75011;Paris 11e  Arrondissement;48.855361,2.381988;
10174;REDA THIERRY;5,02283E+13;Le Mourre Blanc;34140;Mèze;43.413075,3.583333;34157528
10175;LE TOUT VA BIEN;3,25062E+13;5, quai Henri IV;76200;Dieppe;49.927472,1.079475;
10176;MOULIN DU ROC;3,16633E+13;nan;24530;Champagnac-de-Belair;45.39703,0.695643;
10177;BERTHIER LAURENT;3,93482E+13;RUE DE LA LIBERATION;72430;Chantenay-Villedieu;47.920325,-0.161929;
10178;LA CABANE 47;8,52946E+13;47 AV DE LA MOTTE PICQUET;75015;Paris 15e  Arrondissement;48.850612,2.300488;
10179;UNION MAREE;3,33161E+13;14 C ALL DE SAINT MALO;94539;Rungis;48.756744,2.351898;94065431
10180;HOTEL DE LA POSTE;8,24406E+13;10 Place du Marché,;76460;Saint-Valery-en-Caux;49.86839,0.712741;
10181;OGEC ECOLE COLL ST REGIS - ST MICHEL;3,48929E+13;2 RUE ABBE DE L EPEE;43000;Le Puy-en-Velay;45.044455,3.885564;
10182;GAEC LA TERRE DE GRANIT;4,14619E+13;L ANJOURIERE;85670;La Chapelle-Palluau;46.790017,-1.622512;
10183;CAMPING LA PERGOLA;8,29186E+13;1 RUE DES VERNOIS;39130;Marigny;46.676758,5.782736;
10184;BRINS DE MALICE;8,19346E+13;27 ROUTE DE BERTHOUD;69440;Taluyers;45.636653,4.718743;
10185;GIMER OLIVIER;8,41821E+13;8 RUE DE L EGLISE;76690;Cailly;49.578967,1.229319;
10186;PROMOCASH;8,98474E+13;11 ALL LOUIS JOUVET;29000;Quimper;47.979853,-4.077006;29232047
10187;DOMAINE TARBOURIECH;8,2176E+13;DOMAINE DE MONTPENEDRE;34340;Marseillan;43.384379,3.557583;34150002
10188;O CASSE - CROUTE;8,25101E+13;2 B RUE DE BAYARD;31000;Toulouse;43.608104,1.446586;
10189;BOUCHERIE-CHARCUTERIE CHEZ BEA;7,51601E+13;BOUCHERIE-CHARCUTERIE CHEZ BEA;42260;Saint-Martin-la-Sauveté;45.843014,3.941843;
10190;TURTLES PIZZA;4,81385E+13;17 et 19, rue de la tapisserie;60000;Beauvais;49.427793,2.082551;
10191;LA CHEVRERIE DE SASHA ET COMPAGNIE;5,21488E+13;HAM LA MONTA;5460;Abriès-Ristolas;44.7747,6.953637;
10192;EARL JULE;3,88733E+13;Kerboxeur;56700;Sainte-Hélène;47.726017,-3.170247;56220006
10193;TEODORO;7,9884E+13;MARCHE EDGAR QUINET;75014;Paris 14e  Arrondissement;48.840746,2.326668;
10194;ASSOCIATION NATIONALE TEMPS JEUNES;3,94134E+13;LE BELLA VISTA;20220;Algajola;46.052636,5.160042;
10195;LA ROTONDE;8,4167E+13;2 PL DE LA REPUBLIQUE;18200;Saint-Amand-Montrond;46.722871,2.503919;
10196;AFTER ESPIGUETTE;8,82379E+13;4 AV DE L HERMIONE;30240;Le Grau-du-Roi;43.52012,4.140825;
10197;DURAND JEAN-MICHEL;4,03651E+13;Rognac;43300;Saint-Arcons-d'Allier;;43167001
10198;CLEMENCEAU LUDOVIC;5,002E+13;RTE TOURISTIQUE;17560;Bourcefranc-le-Chapus;45.84107,-1.151382;17058287
10199;ETABLISSEMENT BIGNALET;3,4041E+13;GAUJACQ;40290;Estibeaux;43.600951,-0.908789;40118004
10200;Brasserie Pizzaria d'Azur;8,7836E+13;7 RUE DE LYON;75012;Paris 12e  Arrondissement;48.846414,2.371897;
10201;CAFES CHOCOLATS VOISIN;9,57518E+13;2 GRANDE RUE LA CROIX-ROUSSE;69004;Lyon 4e  Arrondissement;45.776365,4.832417;
10202;TROPIC'EPICES;8,41534E+13;89 RUE ROGER SALENGRO;85000;La Roche-sur-Yon;46.667086,-1.441016;
10203;MAXLINE;3,84924E+13;MC DONALD'S;63000;Clermont-Ferrand;45.786671,3.107042;
10204;DES TORMENTILLES;4,10136E+13;15 RUE PRINCIPALE;57260;Domnom-lès-Dieuze;48.860803,6.821874;
10205;JO BURGER SNACK JBS;8,48238E+13;1 RUE THIERE;97320;Saint-Laurent-du-Maroni;5.500517,-54.031457;
10206;LA MERE GAUD;3,87874E+13;120, impasse des Thénières;74140;Ballaison;46.300345,6.327419;74025002
10207;ESAT DE VERDUN;7,75617E+13;Cuisine centrale, quartier Niel;55840;Thierville-sur-Meuse;49.167951,5.361002;
10208;THE TENTH DRIVE;4,40862E+13;AVENUE DES MURGETS;45190;Tavers;47.768619,1.616516;
10209;OVELIA 74;8,14763E+13;6 ROUTE DES CREUSES;74600;Annecy;45.894002,6.108883;
10210;LE SPANO;4,08079E+13;MARINE DE SANT AMBROGGIO;20260;Lumio;42.602526,8.825368;
10211;CHAMASSI CHAMOUSSIDINE;5,0871E+13;rue de Marché;97600;Mamoudzou;-12.77824,45.230147;
10212;HUGUETTE;4,5061E+13;81 RUE DE SEINE;75006;Paris 6e  Arrondissement;48.853302,2.337072;
10213;LA FERME D'ENEA;8,02849E+13;LIEU DIT LA FAYARDIE;24600;Segonzac;45.197205,0.444107;
10214;MULLIGAN;3,1642E+13;BD DE LA PLAGE;33680;Lacanau;45.002655,-1.13472;
10215;FG INVESTISSEMENT;8,90251E+13;68 Avenue de New York,;75016;Paris 16e  Arrondissement;48.858093,2.287908;
10216;S.A.R.L YOKOSO;5,05313E+13;1 RUE RAMEY;75018;Paris 18e  Arrondissement;48.887015,2.347462;
10217;CHEZ KIMLY;7,50527E+13;86 RUE DIDOT;75014;Paris 14e  Arrondissement;48.828541,2.316161;
10218;FEURM KERSCUIDEL;8,91743E+13;KERSCUIDEL;56110;Gourin;48.16889,-3.609662;56066003
10219;SUSHI BEST;5,24203E+13;155 RUE ORDENER;75018;Paris 18e  Arrondissement;48.893252,2.338391;
10220;CHEZ LES DUCS;8,5388E+13;17 RUE DES ETATS;44000;Nantes;47.216296,-1.550681;
10221;CTRE EUROPEEN FORMAT CONTINUE MARITIME;1,82909E+13;AVENUE JOS QUINIOU;29730;Treffiagat;47.797047,-4.270732;29284001
10222;SICAIRE YVES;4,12852E+13;La Font Liotte;16170;Val-d'Auge;45.820655,-0.076978;16228002
10223;CONSERVATOIRE NATIONAL DU SAUMON SAUVAGE;4,94025E+13;nan;43300;Chanteuges;45.072346,3.532903;43056006
10224;ASS MAISON RETRAITE CLERGE - LE LANDREAU;4,24872E+13;LE LANDREAU;85500;Les Herbiers;46.876868,-1.006594;
10225;LE KROQUE SANDWICHERIE;8,98968E+13;84 RUE DES JARDINIERS;54000;Nancy;48.686449,6.191824;
10226;RESIDENCE HESPERIDES DE NOAILLES;5,32963E+13;12-14 RUE DE TOURVILLE;78100;Saint-Germain-en-Laye;48.902646,2.092528;
10227;COMPAGNIE FROMAGERE EDMOND DE ROTHSCHILD;3,82645E+13;Domaine des 30 Arpents;77220;Favières;48.789046,2.793401;77177001
10228;LAZARO CRISTINA;4,50865E+13;A LA CHARRUE;67350;Niedermodern;48.844445,7.632482;
10229;GASTRONOMIE TERROIR GASCON - TABLE GASCONNE;8,80262E+13;215 CHE CAP DU PRAT;32270;Marsan;43.652026,0.706918;
10230;SARL LE BETHELIN;3,91884E+13;21 rue du pont l' abbé;50190;Périers;49.186852,-1.410369;50394001
10231;LES QUAIS;3,30413E+13;34 BOULEVARD DE LA BASTILLE;75012;Paris 12e  Arrondissement;48.850201,2.368817;
10232;SARL MAY HALAL;8,00788E+13;112 route nationale 2;97600;Mamoudzou;-12.812356,45.202805;
10233;NAAS NATHALIE;4,3523E+13;36 Rue des Landes;68870;Bartenheim;47.588443,7.566919;
10234;EGUILLES VIANDES;7,92479E+13;Rue Agathe;13510;Éguilles;43.567289,5.354708;
10235;SARL LA VALOUISE;3,83911E+13;CHE DEPARTEMENTAL 123;60129;Orrouy;49.289888,2.878105;
10236;VALNESS;8,34586E+13;RUE NEUVE;56780;Île-aux-Moines;47.592282,-2.846515;
10237;SUP RIVOLI;4,38181E+13;31 RUE DES BOURDONNAIS;75001;Paris 1er Arrondissement;48.859967,2.345019;
10238;LYCEE GENERAL ET TECHNOLOGIQUE DE UVEA;1,9986E+13;MATA-UTU;98600;Uvea;-13.275186,-176.198421;
10239;LES CANARDS DU VAL DE LUCE;3,78321E+13;12 rue Jacques Hodin;80110;Thennes;49.812098,2.471075;80751001
10240;SCORZO;3,88095E+13;64, AVENUE DES TERNES;75017;Paris 17e  Arrondissement;48.879613,2.290791;
10241;LEFEBVRE MARIE ALICE;7,94548E+13;2 B RUE DES ETANGS;2250;Marcy-sous-Marle;49.736891,3.740301;
10242;TOTANA;4,07842E+13;31 AV  DES ARENES;31130;Balma;43.61407,1.49057;
10243;MAISON BAILLY DE PERE EN FILS;5,35284E+13;11 AV DE VERDUN;52260;Rolampont;47.952485,5.282641;
10244;POUEYDEBASQUE ALAIN;4,30371E+13;20-22 port de la BarbotièreOuest;33470;Gujan-Mestras;44.643769,-1.060935;33199058
10245;BOUCHERIE NICOLAS;8,07653E+13;1 RUE DES TAMARIS;34300;Agde;43.303762,3.483944;
10246;BOSPHORE;5,24423E+13;14 RUE MAMAWE;97600;Mamoudzou;-12.780776,45.231552;
10247;LASTIQUE MOHAMED;2,40861E+12;12, Rue Dinaho Mamoudzou;97600;Mamoudzou;-12.781376,45.232322;
10248;BOULANGERIE DU VILLAGE;8,84409E+13;118 RUE DE BAGNOLET;75020;Paris 20e  Arrondissement;48.859996,2.403898;
10249;LOUIS VINS;7,90353E+13;9 RUE DE LA MONTAGNE STE GENEVIEVE;75005;Paris 5e  Arrondissement;48.849092,2.348786;
10250;LES INSTANTS DU BIGNAC;4,3821E+13;LE BOURG;24520;Saint-Nexans;44.803222,0.549224;
10251;GAEC LES PERVENCHES;3,19115E+13;SEBASTIEN, LA GRANGE;38650;Sinard;44.94878,5.654238;
10252;ASS DEPARTEMENTALE FRANCAS DU GARD;3,04892E+13;nan;11100;Narbonne;43.167402,3.037898;
10253;CHEZFRED;8,98922E+13;LIEUDIT LA BEZIRAIS;44290;Guémené-Penfao;47.592282,-2.846515;
10254;STEFANI TRAITEUR;3,53344E+13;48 AVENUE DE GROSBOIS;94440;Marolles-en-Brie;48.729036,2.5415;94048001
10255;KURA;5,24132E+13;56 RUE DE BOULAINVILLIERS;75016;Paris 16e  Arrondissement;48.857446,2.274922;
10256;MOUCHART DAVID;7,90822E+13;RUE TETE A BRAS;25380;Belleherbe;47.255477,6.65716;
10257;NEW MENG YUAN;8,33623E+13;30 RUE ORDENER;75018;Paris 18e  Arrondissement;48.891361,2.351225;
10258;SOCIETE DE MAREE DU MARCHE COMMUN;3,84601E+13;23, Rue Georges Honoré;62200;Boulogne-sur-Mer;50.72286,1.593612;62160177
10259;WINWAY;7,51485E+13;85 RUE DE REUILLY;75012;Paris 12e  Arrondissement;48.844686,2.389875;
10260;LAMIRAND KEVIN;4,99881E+13;31 CHS DU BOIS;80100;Abbeville;50.108243,1.837135;
10261;TOP KEBAB;8,48564E+13;52, Rue Gambetta;51100;Reims;49.248889,4.037085;
10262;LES VOLAILLES REMI RAMON;7,3725E+13;38 rue du Docteur CUMIN;53250;Javron-les-Chapelles;48.415504,-0.336184;53121001
10263;SOCIETE PLOERMELAISE DE DISTRIBUTION;3,0719E+13;2, Avenue de Chateaubriand;56800;Ploërmel;47.922724,-2.403805;
10264;B NANCY;8,90468E+13;PL HENRI MENGIN;54000;Nancy;48.689256,6.182383;
10265;LES COUVEES DE BRULLEMAIL;8,80994E+13;L EMBERDERIE;61390;Brullemail;48.668695,0.325359;
10266;LES TROIS FOYERS;7,75613E+13;1 RUE RENE BROUARDELLE;51450;Bétheny;49.288233,4.039021;
10267;VINCENZO PIZZA;8,44692E+13;3 RUE DU STADE;79180;Chauray;46.358056,-0.377316;
10268;LEGAY MAXIME;8,25336E+13;3 LA MARETTE;61200;Occagnes;48.77768,-0.06484;
10269;HOURC;8,41494E+13;CHE DU HOURQ;65200;Bagnères-de-Bigorre;43.005451,0.137071;
10270;SOCIETE INDUSTRIELLE D ABATTAGE DU LEON;3,53128E+13;Le  Bois Joli;49280;La Séguinière;47.085142,-0.931607;49332001
10271;EARL DES GAROTXES;3,9924E+13;46, route nationale 116;66360;Serdinya;42.568936,2.323297;66193004
10272;ARBOR & SENS;8,50894E+13;RTE DE TAXO A LA MER;66700;Argelès-sur-Mer;42.567792,3.00586;
10273;EURL RONAN CARIOU;3,83832E+13;LE HAFFOND;29120;Combrit;47.861221,-4.167923;29037500
10274;OSCAR;4,49835E+13;37, rue de l'Abbé Desplanques;59130;Lambersart;50.639797,3.022736;
10275;SAKADOS;8,32322E+13;44 CHEMIN DES TUILERIES;69570;Dardilly;45.822101,4.761292;
10276;LE BISTROT;7,81358E+13;LE BISTROT;97600;Mamoudzou;-12.79441,45.213094;
10277;GAEC DU BARESCOU;4,39073E+13;MOUGNAGUE RENE ET ANNABELLE;64490;Escot;43.070903,-0.525639;64206100
10278;MAISON DE RETRAITE DIFFUSEURS DE PRESSE;3,99855E+13;766  Rue   LOUIS BARTHOU;60280;Margny-lès-Compiègne;49.423199,2.808109;
10279;LE JARDIN DES CONSULS;8,9946E+13;4 RUE DES CONSULS;24200;Sarlat-la-Canéda;44.890606,1.215792;
10280;STEMI;7,91437E+13;12 avenue d'Avignon;84140;Avignon;43.936016,4.871521;
10281;LES NICOIS;7,97704E+13;7 RUE LACHARRIERE;75011;Paris 11e  Arrondissement;48.862051,2.378053;
10282;HAI FA;8,41426E+13;15 RUE DES MARTYRS;75009;Paris 9e  Arrondissement;48.87784,2.339422;
10283;LA MAISON BLEUE NOISY;5,08004E+13;1 RUE DU CENTRE;93160;Noisy-le-Grand;48.838472,2.545376;
10284;LES ECRINS;4,93101E+13;Pied des pistes;5260;Ancelle;44.622327,6.202792;
10285;LES DEUX PONTS;4,04939E+13;1 route de Vezelay;89450;Pierre-Perthuis;47.433139,3.782701;89297001
10286;FONTAINE YVES;3,19231E+13;1 RUE DU HAMEAU;75015;Paris 15e  Arrondissement;48.835767,2.289897;
10287;AU SOLEIL DU DELICE;8,83839E+13;25 RUE RAVEZ;42800;Genilac;45.531851,4.581169;
10288;ISSOUF HAOUTHANI;8,44808E+13;214 RUE CHEICK AHMED SOILIHI;97600;Mamoudzou;-12.796369,45.213707;
10289;DANDONNEAU LINDA;4,01953E+13;69 rue de fort LOUVOIS;17560;Bourcefranc-le-Chapus;45.851341,-1.162298;
10290;GAEC DES TILLEULS;3,49453E+13;5365 RTE DE SAINT NAUPHARY;82000;Montauban;43.991057,1.390578;82121066
10291;BOUCHERIE MONTCONSEIL;8,43456E+13;5 RUE LOUIS DREVET;91100;Corbeil-Essonnes;48.600569,2.477254;
10292;EAT SALAD;8,78862E+13;LES GRANDS PHILAMBINS;86360;Chasseneuil-du-Poitou;46.642311,0.358419;
10293;SARL L'ENTREPOTES;8,29611E+13;103 RUE PAUL DE VIVIE;42100;Saint-Étienne;45.40243,4.40441;
10294;ADANALI RESTAURANT;8,47974E+13;29 GRANDE RUE FRANCOIS MITTERRAND;90800;Bavilliers;47.620884,6.835581;
10295;B.B.A FOOD;8,49328E+13;12 AV DE LA PAIX;93290;Tremblay-en-France;48.950431,2.567825;
10296;D EIBANS;8,11517E+13;LE VILLARD;5290;Vallouise-Pelvoux;44.841221,6.473367;
10297;EURL CLASSAMETZ;5,1377E+13;9 RUE JOSEPH CUGNOT;57000;Metz;49.113607,6.172945;
10298;LE REP'SHOW;4,81481E+13;8 PL DE LA REPUBLIQUE;66400;Céret;42.48577,2.746955;
10299;ETRECHY DISTRIBUTION;3,14747E+13;LES CORPS SAINTS;91580;Étréchy;48.488487,2.188099;
10300;LABAT FREDERIQUE;3,89843E+13;cabane n°167 Digue Centrale;33260;La Teste-de-Buch;44.635179,-1.134898;33529020
10301;LE COQ;4,82049E+13;2 PLACE DU TROCADERO;75016;Paris 16e  Arrondissement;48.862344,2.282151;
10302;FRANPRIX;3,19713E+13;7 RUE DES PETITES ECURIES;75010;Paris 10e  Arrondissement;48.873017,2.353548;
10303;DRIVE KEBAB LAON;7,90375E+13;RUE JEAN JACQUES ROUSSEAU;2000;Laon;49.559636,3.624184;
10304;BOUCHERIE DEMOLON;8,99928E+13;4 RUE CLEMENCEAU;2340;Montcornet;49.695217,4.013795;
10305;KINTARO;5,02247E+13;136 AVENUE DE PARIS;94300;Vincennes;48.846092,2.42339;
10306;DESMOULES ARIELLE MURIELLE;4,02203E+13;PL DE L EGLISE;18390;Moulins-sur-Yèvre;47.083266,2.516035;
10307;AU BON VENT;4,77516E+13;64, Rue du rocher;50140;Mortain-Bocage;48.642374,-0.940807;
10308;GUICHET PHILIPPE;3,40152E+13;M.I.N ANGERS avenue Jean Joxé;49100;Angers;47.482649,-0.542173;49007080
10309;SOUMAILI BACAR;5,09293E+13;Zone NEL en face Tétrama KAWENI;97600;Mamoudzou;-12.773271,45.220712;
10310;ASSOCIATION NORD LOISIRS;3,44583E+13;Avenue de la Jonque;11430;Gruissan;43.133152,3.136142;
10311;LI KA FO;4,29163E+13;39  AVENUE   DE CHOISY;75013;Paris 13e  Arrondissement;48.822244,2.362823;
10312;LE TRANSIT;8,11073E+13;15 RUE DE WATTIGNIES;75012;Paris 12e  Arrondissement;48.836652,2.393383;
10313;CARREFOUR CONTACT;8,10206E+13;CARREFOUR CONTACT;16140;Aigre;45.893046,0.013311;
10314;FOYER NOTRE DAME DU BON ACCUEIL;3,2666E+13;411 CHE DU MAS DE BOUISSON;34680;Saint-Georges-d'Orques;43.613849,3.771388;
10315;RESIDENCE CREISKER;4,52918E+13;78, avenue de Saint Sébastien;44380;Pornichet;47.25645,-2.32373;
10316;LES SAVEURS D'ORIENT;8,3239E+13;27 AV DE LYON;1960;Péronnas;46.191613,5.212306;
10317;LA VALE NORMANDE;8,18883E+13;4 PLACE DE LA LIBERATION;76740;Sotteville-sur-Mer;49.882174,0.829497;
10318;COLLEGE JOSEPH PAUL-BONCOUR;1,94107E+13;BD JEAN MOULIN BP 54;41110;Saint-Aignan;;
10319;SAS INSIDE SPORT;8,48744E+13;8 RUE ANDRE FJ RIEG;51100;Reims;49.230139,4.07963;
10320;GAEC MIONET MARQUIS;4,77712E+13;60 HAMEAU DE BAINGHEN;62250;Leubringhen;50.851481,1.745073;62503036
10321;SARL LA FERME DE BROTTES;5,13795E+13;BROTTES;7410;Colombier-le-Vieux;45.054998,4.708472;
10322;RESIDENCE AUTONOMIE HENRI DESCHAMPS;2,64502E+13;1 rue Ferdinand Buisson;45530;Vitry-aux-Loges;47.940565,2.266152;45346002
10323;LES MARINS PECHEURS;8,40643E+13;18 RUE DE LA CITE;59280;Armentières;50.68094,2.886161;
10324;AU BON COIN DE L'ELSAU;5,31383E+13;11 RUE WATTEAU;67200;Strasbourg;48.566723,7.725751;
10325;MONDIAL DISTRIBUTION DONER;8,03419E+13;8 BIS RUE DU MOULIN DES LANDES;44840;Les Sorinières;47.139017,-1.523014;
10326;INDIANA MONTPARNASSE;3,263E+13;72 BOULEVARD DU MONTPARNASSE;75014;Paris 14e  Arrondissement;48.84331,2.325003;
10327;ASS POUR GESTION RIE RIVES SEINE;4,78E+13;68 QUAI DE LA RAPEE;75012;Paris 12e  Arrondissement;48.843732,2.370764;
10328;MONFRAY GUILLAUME;4,82453E+13;1011 AVENUE DE LA REPUBLIQUE;64170;Artix;43.397075,-0.573644;
10329;DUO;7,52552E+13;39 CHE DES MONTBOUCONS;25000;Besançon;47.26,5.98939;
10330;SARL QUENELLES LYONNAISES DESMARIS;3,50342E+13;ZI Le Logis Neuf;69780;Toussieu;45.663609,4.992401;69298001
10331;EARL DE LA BLANDIRIE;3,85095E+13;LA BLANDIRIE;22800;Saint-Donan;48.448548,-2.923359;22287001
10332;SUSHI LOUNGE;8,09719E+13;53 RUE DE VAUGIRARD;75006;Paris 6e  Arrondissement;48.84752,2.328761;
10333;HOTEL RESTAURANT DU TRIBUNAL;8,28612E+13;4 PL DU PALAIS;61400;Mortagne-au-Perche;48.522426,0.546998;
10334;FIRMIN;7,907E+13;LES MOUNARDS;24750;Trélissac;45.187939,0.756413;
10335;CHAPIER FRANCOIS;4,20522E+13;4 RUE DES MARTYRS;75009;Paris 9e  Arrondissement;48.87697,2.339373;
10336;MAMY NOUNOU;4,5013E+13;RUE DU CHATEAU DUBUC;97220;La Trinité;14.770546,-60.893111;
10337;MAGLIOCCA THIBAUT;8,07642E+13;RUE DES CORMORANS;34200;Sète;43.419274,3.672915;34301019
10338;TOUTE L ENFANCE EN PLEIN AIR;7,85355E+13;264, boulevard Saint Denis;92400;Courbevoie;48.904131,2.278342;
10339;FOYER RURAL;3,79206E+13;MAIRIE;52260;Rolampont;47.950079,5.286012;
10340;GAEC LE MAS D'ILLINS;3,90801E+13;897 Chemin de Revou-Bayard;38200;Luzinay;45.60835,4.937064;
10341;GAEC RECONNU DU VACCEUX;3,20464E+13;15, chemin de la Pecherotte;88160;Le Thillot;47.86728,6.748628;88468002
10342;VESCHAMBRE MICHEL;4,40572E+13;LA BESSEYRE;15190;Saint-Saturnin;45.249232,2.815975;15213279
10343;BONNE ESPERANCE;7,97879E+13;9 KERSIMON;22200;Pommerit-le-Vicomte;48.643813,-3.087217;22248001
10344;CAT ATELIER MAURICE DEHAY;5,0991E+13;Z I  Bld du valigot;62630;Étaples;50.519221,1.6634;62318612
10345;E.S.A.T. FOYER ESPERANCE EMMAUS;7,82119E+13;3134 ROUTE D'ONDRES;40390;Saint-Martin-de-Seignanx;43.529263,-1.413382;
10346;MELIH & CO;8,8145E+13;123 AV DES FRERES LUMIERE;69008;Lyon 8e  Arrondissement;45.743586,4.87332;
10347;CREPERIE DE KEROMAN;4,19312E+13;6 RUE DE KEROMAN;44420;Piriac-sur-Mer;47.380437,-2.54625;
10348;GAEC DU BOIS JOLI;4,08771E+13;Lachaux;63320;Saint-Diéry;45.544394,3.018371;63335001
10349;DUMONT;5,02748E+13;LE VILLAGE;1390;Civrieux;45.923052,4.88356;
10350;KYOBASHI;5,03059E+13;155 RUE DE VAUGIRARD;75015;Paris;48.843723,2.315458;
10351;ASSOCIATION DU RESTAURANT INTER-ENTREPRISES VITALYS;8,13022E+13;nan;75019;Paris 19e  Arrondissement;48.859,2.347;
10352;DAKOTA;8,23298E+13;66 AVENUE JEAN JAURES;75019;Paris 19e  Arrondissement;48.884328,2.37671;
10353;EHPAD RESIDENCE BODIN GRANDMAISON;2,679E+13;11,rue Georges Grandmaison;79350;Faye-l'Abbesse;46.829343,-0.352806;79116002
10354;TANGO;8,41999E+13;14 PL GUILLAUME LE CONQUERANT;76260;Eu;50.048272,1.420304;
10355;CARREFOUR MARKET;8,08598E+13;CHE D ARANCETTE;64100;Bayonne;43.48253,-1.487721;
10356;FONDATION PERCE NEIGE;7,85041E+13;10 RUE LINO VENTURA;94520;Mandres-les-Roses;48.700489,2.550441;
10357;SI BERTHECOURT,PONCHON,VILLERS ST SEPULC;2,56006E+13;40 RUE JULES FERRY;60370;Berthecourt;49.351452,2.22794;
10358;MULTI ACCUEIL LES DROLETS;2,43101E+13;31 MAIL DES DROLETS;31320;Castanet-Tolosan;43.517476,1.507282;
10359;LA MARINE;7,52505E+13;Port Charles ORNANO;20000;Ajaccio;41.919304,8.734966;
10360;LA CANTINE DE JEAN;4,90401E+13;437 route de paris;79180;Chauray;46.342801,-0.380582;
10361;ANKKA;8,44795E+13;4 PL HENRI VERNEUIL;13002;Marseille 2e  Arrondissement;43.309169,5.367658;
10362;DYNEFF;3,05801E+13;RN 10;16240;Courcôme;45.983196,0.156705;
10363;LE BOUCHERON;8,27643E+13;60 AV ECOLE AGRICULTURE G BUCHET;34000;Montpellier;43.615273,3.856752;
10364;URBANAS;4,48228E+13;267 ROUTE DE GENAS;69100;Villeurbanne;45.750567,4.910388;
10365;GAEC DES COURBES DE LA CANCE;8,1108E+13;Thomas Graindorge;61150;Tanques;48.691609,-0.082282;61479001
10366;XPO SUPPLY CHAIN FROID FRANCE;3,10644E+13;Plate Forme Logistique CLESUD;13140;Miramas;43.60698,4.999072;13063009
10367;LEGTA DE THIERACHE;1,90215E+13;LEGTA;2140;Fontaine-lès-Vervins;49.84768,3.889801;
10368;CHEZ MARIE;8,40828E+13;ZA DU RUET MADELON LES LANDELLES;50560;Blainville-sur-Mer;49.066516,-1.592431;
10369;CENTRE FORMATION APPRENTIS HAUTE-CORSE;7,83005E+13;Route Du Village;20600;Furiani;42.657457,9.426735;2B120016
10370;KORIAN PONTLIEUE;4,50619E+13;PLACE ADRIEN TIRONNEAU;72100;Le Mans;47.983197,0.210074;
10371;LA CHEVRERIE DE SAINT ADRIEN;8,49793E+13;2 QUELENEYER;22390;Saint-Adrien;48.49573,-3.12429;
10372;WHITELINK SEAFOODS FRANCE;4,02327E+13;30 RUE DE VERDUN;62200;Boulogne-sur-Mer;50.719961,1.593638;62160273
10373;RESTO'LANDES;3,52772E+13;1 PL JEANNE D ARC;85150;Saint-Julien-des-Landes;46.640206,-1.713023;
10374;GAEC VILLARMET;4,23647E+13;HAMEAU DE THIL LA VILLE;21390;Nan-sous-Thil;47.387972,4.357903;21449001
10375;SARL SALAISONS LABORIE ET FILS;3,89731E+13;SALAISONS LABORIE;46210;Labastide-du-Haut-Mont;44.834866,2.122107;46135001
10376;AU BOUGNAT;8,80298E+13;26 RUE CHANOINESSE;75004;Paris 4e  Arrondissement;48.854267,2.350164;
10377;FOOD FAMILY;8,49711E+13;2 RUE JEAN JAURES;59580;Aniche;50.331507,3.250994;
10378;SOCIETE HUGUENIN;4,10687E+13;32 AVENUE DE LA VILLETTE;94637;Rungis;;94065479
10379;DI MENZA JEAN;3,92071E+13;Jean-Michel DIMENZA;20217;Canari;42.850432,9.339395;2B298010
10380;OCTOPUS;8,8933E+13;20 RUE DU MARCHE;87500;Saint-Yrieix-la-Perche;45.514038,1.202613;
10381;PASCAL CLEMENT;8,22741E+13;1 IMPASSE DU COLOMBIER;58800;Chitry-les-Mines;47.261476,3.654407;
10382;INTERMARCHE;3,83125E+13;Route de Saint Mathieu;87150;Cussac;45.707253,0.845476;
10383;KOETSU;4,50011E+13;42, RUE SAINTE-ANNE;75002;Paris 2e  Arrondissement;48.867197,2.336048;
10384;EARL SERIGNAC PERE ET FILS;8,19523E+13;PORT DE LA BARBOTIERE;33470;Gujan-Mestras;44.643769,-1.060935;33199108
10385;WDL;8,23657E+13;57 RUE JEAN JAURES;42800;Rive-de-Gier;45.53032,4.619021;
10386;LE CENDRIEUX;8,10984E+13;LE BOURG;24380;Val de Louyre et Caudeau;44.961809,0.78462;
10387;LES PIZZAS DE CHARLOTTE;8,10265E+13;32 AVENUE DE L OCEAN;33930;Vendays-Montalivet;45.37835,-1.154265;
10388;LOGEMENT FOYER LES FLORALIES;2,68401E+13;1 Allée des floralies;84130;Le Pontet;43.963218,4.873394;
10389;AU BOUT DU BAR;8,11452E+13;111 RUE PAUL VAILLANT COUTURIER;95100;Argenteuil;48.942826,2.248203;
10390;GAEC DES BLONDES;4,47791E+13;9 RUE HAUTE;8220;Givron;49.646346,4.288829;
10391;RMJ;8,03939E+13;132 RUE DE VAUGIRARD;75006;Paris 6e  Arrondissement;48.845258,2.320458;
10392;LINA;8,35002E+13;9 C RUE ALFRED CANEL;27500;Pont-Audemer;49.353715,0.515048;
10393;INTERMACHE/BISTROT DU MARCHE;3,07422E+13;Route de Bordeaux;24400;Saint-Médard-de-Mussidan;45.023336,0.341902;
10394;MAISON CORNILLON;8,91652E+13;22 RTE DE MAILLY LA VILLE;89270;Sery;47.614265,3.685639;
