;SIRET;APP_Libelle_activite_etablissement
267;5,03463E+13;Boulangerie-Pâtisserie
268;5,1307E+13;Restaurant
269;4,90375E+13;Restaurant
270;5,04191E+13;_
271;4,90789E+13;Restaurant
272;5,0466E+13;Boulangerie-Pâtisserie
273;5,13899E+13;Boulangerie-Pâtisserie
274;4,91044E+13;Boulangerie-Pâtisserie
275;5,04801E+13;Alimentation générale
276;5,17627E+13;Alimentation générale
277;4,91135E+13;Alimentation générale
278;5,07722E+13;Boulangerie-Pâtisserie
279;5,18949E+13;Boulangerie-Pâtisserie
280;4,91324E+13;Restaurant
281;5,0834E+13;Boulangerie-Pâtisserie
282;5,19058E+13;_
283;4,91332E+13;Boulangerie-Pâtisserie
284;5,19261E+13;Boulangerie-Pâtisserie
285;4,91645E+13;Boulangerie-Pâtisserie
286;5,09459E+13;Boulangerie-Pâtisserie
287;5,21323E+13;Restaurant
288;4,93387E+13;Rayon boucherie-charcuterie
289;5,09915E+13;Boulangerie-Pâtisserie
290;5,21438E+13;Boulangerie-Pâtisserie
291;4,94021E+13;Alimentation générale
292;5,1035E+13;Restaurant
293;5,21757E+13;Restaurant
294;4,95287E+13;Restaurant
295;5,10987E+13;_
296;5,21951E+13;Boulangerie-Pâtisserie
297;4,9829E+13;Alimentation générale
298;5,2232E+13;Restaurant
299;4,9866E+13;Restaurant
300;5,12194E+13;Boulangerie-Pâtisserie
301;5,23284E+13;Alimentation générale
302;5,12316E+13;Alimentation générale
303;5,23818E+13;Restaurant
304;5,00058E+13;Restaurant
305;5,13044E+13;Boucherie-Charcuterie
306;5,24118E+13;Alimentation générale
307;5,00937E+13;Restaurant
308;5,13294E+13;Alimentation générale
309;5,24216E+13;Boulangerie-Pâtisserie
310;5,0199E+13;Boulangerie-Pâtisserie
311;5,136E+13;Boulangerie-Pâtisserie
312;5,02554E+13;Boulangerie-Pâtisserie
313;5,13613E+13;_
314;5,28628E+13;Boulangerie-Pâtisserie
315;5,04841E+13;Alimentation générale
316;5,18385E+13;Alimentation générale
317;5,28895E+13;Boucherie-Charcuterie
