;SIRET;ods_type_activite
369;5,23322E+13;Autres
370;5,33214E+13;Autres
371;5,11134E+13;Autres
372;5,23477E+13;Autres
373;5,33336E+13;Autres
374;5,1117E+13;Autres
375;5,33421E+13;Autres
376;5,12468E+13;Autres
377;5,24449E+13;Autres
378;5,33511E+13;Autres
379;5,12588E+13;Autres
380;5,24481E+13;Autres
381;5,33849E+13;Autres
382;5,14244E+13;Autres
383;5,25136E+13;Autres
384;5,34315E+13;Autres
385;5,1469E+13;Autres
386;5,28041E+13;Autres
387;5,34438E+13;Autres
388;5,14983E+13;Autres
389;5,30018E+13;Autres
390;5,37929E+13;Autres
391;5,15399E+13;Autres
392;5,30849E+13;Autres
393;5,72106E+13;Autres
394;5,18276E+13;Autres
395;5,32332E+13;Autres
396;6,59804E+13;Autres
397;5,21026E+13;Autres
398;5,32779E+13;Autres
399;7,50713E+13;Autres
400;5,2156E+13;Autres
401;5,32907E+13;Autres
402;7,51989E+13;Autres
403;5,22183E+13;Autres
404;5,32942E+13;Autres
405;7,52245E+13;Autres
406;5,23522E+13;Autres
407;5,335E+13;Autres
408;7,52247E+13;Autres
409;5,23558E+13;Autres
410;5,33812E+13;Autres
411;7,52352E+13;Autres
412;5,24449E+13;Autres
413;5,34593E+13;Autres
414;7,53054E+13;Autres
415;5,25201E+13;Autres
416;5,34705E+13;Autres
417;7,53114E+13;Autres
418;5,29035E+13;Autres
419;5,34944E+13;Autres
420;7,53158E+13;Autres
421;5,29376E+13;Autres
422;5,38034E+13;Autres
423;7,53191E+13;Autres
424;5,30763E+13;Autres
425;5,38535E+13;Autres
426;7,53332E+13;Autres
427;5,32005E+13;Autres
428;5,39824E+13;Autres
429;7,53485E+13;Autres
430;5,33214E+13;Autres
431;5,52083E+13;Autres
432;7,53531E+13;Autres
433;5,33214E+13;Autres
434;5,62028E+13;Autres
435;7,53888E+13;Autres
436;5,33852E+13;Autres
437;5,8215E+13;Autres
438;7,88748E+13;Autres
439;5,3395E+13;Autres
440;6,32E+13;Autres
441;7,8922E+13;Autres
442;5,34643E+13;Autres
443;7,9055E+13;Autres
444;5,34714E+13;Autres
445;6,32E+13;Autres
446;7,912E+13;Autres
447;5,34842E+13;Autres
448;6,62014E+13;Autres
449;7,91552E+13;Autres
450;5,37415E+13;Autres
451;6,89802E+13;Autres
452;7,91834E+13;Autres
453;5,37589E+13;Autres
454;6,92034E+13;Autres
455;7,91854E+13;Autres
456;5,38622E+13;Autres
457;7,50557E+13;Autres
458;7,92015E+13;Autres
459;5,38779E+13;Autres
460;7,50657E+13;Autres
461;7,92484E+13;Autres
462;5,38783E+13;Autres
463;7,50749E+13;Autres
464;7,92581E+13;Autres
465;5,52083E+13;Autres
466;7,50813E+13;Autres
467;7,92907E+13;Autres
468;5,52083E+13;Autres
469;7,50911E+13;Autres
