;SIRET;Numero_inspection;Date_inspection;Synthese_eval_sanit
95;3,92074E+13;15918121;2021-03-04T01:00:00+01:00;Satisfaisant
96;3,92657E+13;15981801;2021-04-26T02:00:00+02:00;Très satisfaisant
97;4,17768E+13;15988800;2021-04-26T02:00:00+02:00;A améliorer
98;3,92732E+13;16036495;2021-06-10T02:00:00+02:00;Très satisfaisant
99;3,931E+13;15938284;2021-03-19T01:00:00+01:00;Très satisfaisant
100;4,18691E+13;16250663;2021-11-26T01:00:00+01:00;Satisfaisant
101;3,92885E+13;15854684;2021-01-12T01:00:00+01:00;Satisfaisant
102;3,97654E+13;16152912;2021-09-08T02:00:00+02:00;Satisfaisant
103;4,19695E+13;15916328;2021-03-04T01:00:00+01:00;A améliorer
104;3,94961E+13;15988446;2021-04-30T02:00:00+02:00;Très satisfaisant
105;4,00649E+13;16075282;2021-07-07T02:00:00+02:00;Satisfaisant
106;4,20975E+13;15922916;2021-03-09T01:00:00+01:00;Satisfaisant
107;3,95068E+13;16161902;2021-09-15T02:00:00+02:00;Très satisfaisant
108;4,08089E+13;16148808;2021-09-06T02:00:00+02:00;Très satisfaisant
109;4,21641E+13;15885941;2021-02-08T01:00:00+01:00;Satisfaisant
110;3,9769E+13;16124819;2021-08-12T02:00:00+02:00;Satisfaisant
111;4,08617E+13;16107995;2021-07-27T02:00:00+02:00;Satisfaisant
112;4,21702E+13;15890450;2021-02-10T01:00:00+01:00;Satisfaisant
113;4,00433E+13;16126813;2021-08-16T02:00:00+02:00;Satisfaisant
114;4,0941E+13;16160911;2021-09-15T02:00:00+02:00;Satisfaisant
115;4,22359E+13;16081267;2021-07-06T02:00:00+02:00;A améliorer
116;4,01386E+13;16045033;2021-06-16T02:00:00+02:00;Très satisfaisant
117;4,10409E+13;15980199;2021-04-19T02:00:00+02:00;A améliorer
118;4,22619E+13;16162300;2021-09-08T02:00:00+02:00;Très satisfaisant
119;4,01386E+13;16045072;2021-06-16T02:00:00+02:00;Très satisfaisant
120;4,10409E+13;16242702;2021-11-22T01:00:00+01:00;Satisfaisant
121;4,23263E+13;16022938;2021-06-02T02:00:00+02:00;Satisfaisant
122;4,01533E+13;15894676;2021-01-13T01:00:00+01:00;Satisfaisant
123;4,10409E+13;15995512;2021-04-29T02:00:00+02:00;Satisfaisant
124;4,23733E+13;15944552;2021-03-24T01:00:00+01:00;Satisfaisant
125;4,13123E+13;16156777;2021-09-10T02:00:00+02:00;A améliorer
126;4,28268E+13;15898453;2021-02-17T01:00:00+01:00;Satisfaisant
127;4,03734E+13;16196737;2021-10-12T02:00:00+02:00;A améliorer
128;4,14569E+13;15903317;2021-02-22T01:00:00+01:00;A améliorer
129;4,28268E+13;15968762;2021-04-14T02:00:00+02:00;A améliorer
130;4,10409E+13;15974132;2021-04-19T02:00:00+02:00;A améliorer
131;4,14599E+13;16007853;2021-05-19T02:00:00+02:00;A améliorer
132;4,29047E+13;16183898;2021-09-29T02:00:00+02:00;Satisfaisant
133;4,10409E+13;16200570;2021-10-12T02:00:00+02:00;A améliorer
134;4,18171E+13;16253382;2021-11-29T01:00:00+01:00;Satisfaisant
135;4,32524E+13;16290822;2021-12-17T01:00:00+01:00;Très satisfaisant
136;4,11261E+13;16083820;2021-07-13T02:00:00+02:00;A améliorer
137;4,18704E+13;15865620;2021-01-22T01:00:00+01:00;A améliorer
138;4,33017E+13;15960545;2021-04-06T02:00:00+02:00;Satisfaisant
139;4,11463E+13;16112877;2021-08-03T02:00:00+02:00;Satisfaisant
140;4,22491E+13;16204507;2021-10-13T02:00:00+02:00;Très satisfaisant
141;4,39504E+13;15978869;2021-04-21T02:00:00+02:00;Satisfaisant
142;4,13874E+13;16181331;2021-09-30T02:00:00+02:00;Satisfaisant
143;4,24004E+13;15858975;2021-01-19T01:00:00+01:00;Satisfaisant
144;4,39707E+13;16121052;2021-08-10T02:00:00+02:00;A améliorer
145;4,14046E+13;16132609;2021-08-19T02:00:00+02:00;Très satisfaisant
146;4,24294E+13;16142839;2021-08-31T02:00:00+02:00;A améliorer
147;4,39857E+13;15901039;2021-02-05T01:00:00+01:00;A améliorer
148;4,14599E+13;16123279;2021-08-12T02:00:00+02:00;Satisfaisant
149;4,28268E+13;15870206;2021-01-26T01:00:00+01:00;Satisfaisant
150;4,4273E+13;15989496;2021-04-30T02:00:00+02:00;Satisfaisant
151;4,15386E+13;16111929;2021-07-29T02:00:00+02:00;Très satisfaisant
152;4,28268E+13;15990124;2021-04-30T02:00:00+02:00;A améliorer
153;4,42775E+13;15863098;2021-01-21T01:00:00+01:00;Satisfaisant
154;4,18171E+13;15867537;2021-01-25T01:00:00+01:00;Satisfaisant
155;4,29072E+13;15957478;2021-04-02T02:00:00+02:00;Satisfaisant
156;4,43363E+13;16171930;2021-09-22T02:00:00+02:00;Satisfaisant
157;4,19305E+13;15847837;2021-01-08T01:00:00+01:00;Satisfaisant
158;4,32018E+13;15948072;2021-03-18T01:00:00+01:00;Satisfaisant
159;4,43847E+13;16250560;2021-11-24T01:00:00+01:00;Très satisfaisant
160;4,19382E+13;15852038;2021-01-13T01:00:00+01:00;Satisfaisant
161;4,32856E+13;16091893;2021-07-20T02:00:00+02:00;Très satisfaisant
162;4,47486E+13;15986168;2021-04-22T02:00:00+02:00;Satisfaisant
