;SIRET;APP_Libelle_activite_etablissement
266;5,01488E+13;Alimentation générale
267;4,8087E+13;Boulangerie-Pâtisserie
268;4,94211E+13;Restaurant
269;5,01531E+13;Restaurant
270;4,80975E+13;Boulangerie-Pâtisserie
271;4,94299E+13;Restaurant
272;5,02069E+13;Alimentation générale
273;4,81047E+13;Alimentation générale
274;4,99924E+13;Restaurant
275;5,03287E+13;Boulangerie-Pâtisserie
276;4,82019E+13;Boucherie-Charcuterie
277;5,00298E+13;Boulangerie-Pâtisserie
278;5,05239E+13;Restaurant
279;4,82265E+13;_
280;5,00313E+13;Restaurant
281;5,07438E+13;Boulangerie-Pâtisserie
282;4,82341E+13;Boulangerie-Pâtisserie
283;5,00313E+13;Alimentation générale
284;5,07556E+13;Restaurant
285;4,8239E+13;_
286;5,00366E+13;Boulangerie-Pâtisserie
287;5,08562E+13;Boucherie-Charcuterie
288;4,83818E+13;_
289;5,0108E+13;Restaurant
290;5,09079E+13;Restaurant
291;4,84919E+13;Boulangerie-Pâtisserie
292;5,01283E+13;Restaurant
293;5,09316E+13;Restaurant
294;4,88761E+13;Boulangerie-Pâtisserie
295;5,01458E+13;Boulangerie-Pâtisserie
296;5,10447E+13;Restaurant
297;4,88878E+13;Restaurant
298;5,0315E+13;Boucherie-Charcuterie
299;5,12308E+13;Boulangerie-Pâtisserie
300;4,89776E+13;Boulangerie-Pâtisserie
301;5,03463E+13;Boulangerie-Pâtisserie
302;5,1307E+13;Restaurant
303;4,90375E+13;Restaurant
304;5,04191E+13;_
305;5,13897E+13;Boucherie-Charcuterie
306;4,90789E+13;Restaurant
307;5,0466E+13;Boulangerie-Pâtisserie
308;5,13899E+13;Boulangerie-Pâtisserie
309;4,91044E+13;Boulangerie-Pâtisserie
310;5,04801E+13;Alimentation générale
311;5,17627E+13;Alimentation générale
312;4,91135E+13;Alimentation générale
313;5,07722E+13;Boulangerie-Pâtisserie
314;5,18949E+13;Boulangerie-Pâtisserie
315;4,91324E+13;Restaurant
316;5,0834E+13;Boulangerie-Pâtisserie
317;5,19058E+13;_
318;4,91332E+13;Boulangerie-Pâtisserie
319;5,19261E+13;Boulangerie-Pâtisserie
320;4,91645E+13;Boulangerie-Pâtisserie
321;5,09459E+13;Boulangerie-Pâtisserie
322;5,21323E+13;Restaurant
323;4,93387E+13;Rayon boucherie-charcuterie
