SIRET;Code_postal;APP_Libelle_activite_etablissement;Agrement;ods_type_activite;Synthese_eval_sanit_A améliorer;Synthese_eval_sanit_A corriger de manière urgente;Synthese_eval_sanit_Satisfaisant;Synthese_eval_sanit_Très satisfaisant
43145406500019;63;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
44748741400024;38;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
47845579301444;2;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
43223841800011;95;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
44814194500015;92;Restaurant;1;Autres;0;0;1;0
47848889300023;29;Restaurant;1;Autres;0;0;0;1
43834683500020;73;Alimentation générale;1;Autres;0;0;1;0
44953139100919;35;Restaurant;1;Autres;0;0;0;1
47872432100011;38;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
43840198600015;74;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
45042848700018;92;Restaurant;1;Autres;0;0;1;0
47993164400013;29;Restaurant;1;Autres;0;0;0;1
43869506600029;92;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
45132133500205;92;Rayon poissonnerie;1;Autres;0;0;0;1
48037703500021;29;Boucherie-Charcuterie;1;Autres;0;0;0;1
43905691200017;69;Restaurant;1;Autres;0;0;0;1
45132133500551;95;Rayon poissonnerie;1;Autres;0;0;1;0
48235112900028;80;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
43962601100068;22;Restaurant;1;Autres;0;0;1;0
45132133501211;14;Rayon boucherie-charcuterie;1;Autres;0;0;1;0
48313132200016;92;Restaurant;1;Autres;0;0;1;0
44311991200014;78;Boucherie-Charcuterie;1;Autres;1;0;0;0
45194922600018;94;Alimentation générale;1;Autres;0;0;1;0
48382540200017;62;Restaurant;1;Autres;0;0;0;1
44526405400021;69;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
45212554500023;63;Boucherie-Charcuterie;1;Autres;1;0;0;0
48437030900029;35;Alimentation générale;1;Autres;0;0;0;1
44815519200017;69;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
45372640800025;29;Restaurant;1;Autres;0;0;1;0
48907784200016;97;Restaurant;1;Autres;0;0;0;1
44851754000044;35;Rayon boucherie-charcuterie;1;Autres;0;0;1;0
48184363900016;74;Restaurant;1;Autres;0;0;1;0
48954338900014;47;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
44990119800019;78;Restaurant;1;Autres;0;0;0;1
48234097301617;91;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
49025673200028;29;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
45009153300031;63;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
48251814900026;65;Restaurant;1;Autres;0;0;0;1
49031292300017;63;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
45132133500205;92;Alimentation générale;1;Autres;0;0;0;1
48306450700013;78;Restaurant;1;Autres;0;0;0;1
49037869200019;94;Alimentation générale;1;Autres;1;0;0;0
45212071000010;78;Restaurant;1;Autres;0;0;0;1
48339021700030;38;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
49081825900015;69;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
45227018400016;95;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
48358328200049;78;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
49445834200024;14;Alimentation générale;1;Autres;0;0;1;0
45255974300011;91;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
