id_etablissement;id_activite;id_type_activite;code_postal;agrement;niveau_hygiene
114;19;0;69;;0
114;19;4;69;;0
114;6;0;69;;0
114;6;4;69;;0
114;13;0;69;;0
114;13;4;69;;0
114;8;0;69;;0
114;8;4;69;;0
114;22;0;69;;0
114;22;4;69;;0
114;32;0;69;;0
114;32;4;69;;0
114;4;0;69;;0
114;4;4;69;;0
114;31;0;69;;0
114;31;4;69;;0
114;18;0;69;;0
114;18;4;69;;0
114;2;0;69;;0
114;2;4;69;;0
114;11;0;69;;0
114;11;4;69;;0
115;1;0;78;;2
116;1;0;62;;2
116;4;0;62;;2
114;10;0;69;;2
114;10;4;69;;2
114;5;0;69;;2
114;5;4;69;;2
114;7;0;69;;2
114;7;4;69;;2
114;0;0;69;;2
114;0;4;69;;2
114;19;0;69;;2
114;19;4;69;;2
114;6;0;69;;2
114;6;4;69;;2
114;13;0;69;;2
114;13;4;69;;2
114;8;0;69;;2
114;8;4;69;;2
114;22;0;69;;2
114;22;4;69;;2
114;32;0;69;;2
114;32;4;69;;2
114;4;0;69;;2
114;4;4;69;;2
114;31;0;69;;2
114;31;4;69;;2
114;18;0;69;;2
114;18;4;69;;2
114;2;0;69;;2
114;2;4;69;;2
114;11;0;69;;2
114;11;4;69;;2
